id,states,states_code,state_abbv,year,population
1,Alabama,AL,AL,2013,4830081
2,Alaska,AK,AK,2013,737068
4,Arizona,AZ,AZ,2013,6632764
5,Arkansas,AR,AR,2013,2959400
6,California,CA,CA,2013,38260787
8,Colorado,CO,CO,2013,5269035
9,Connecticut,CT,CT,2013,3594841
10,Delaware,DE,DE,2013,923576
11,District of Columbia,DC,,2013,650581
12,Florida,FL,FL,2013,19545621
13,Georgia,GA,GA,2013,9972479
15,Hawaii,HI,HI,2013,1408243
16,Idaho,ID,ID,2013,1611206
17,Illinois,IL,IL,2013,12895129
18,Indiana,IN,IN,2013,6568713
19,Iowa,IA,IA,2013,3092997
20,Kansas,KS,KS,2013,2893212
21,Kentucky,KY,KY,2013,4404659
22,Louisiana,LA,LA,2013,4624527
23,Maine,ME,ME,2013,1328009
24,Maryland,MD,MD,2013,5923188
25,Massachusetts,MA,MA,2013,6713315
26,Michigan,MI,MI,2013,9913065
27,Minnesota,MN,MN,2013,5413479
28,Mississippi,MS,MS,2013,2988711
29,Missouri,MO,MO,2013,6040715
30,Montana,MT,MT,2013,1013569
31,Nebraska,NE,NE,2013,1865279
32,Nevada,NV,NV,2013,2775970
33,New Hampshire,NH,NH,2013,1326622
34,New Jersey,NJ,NJ,2013,8856972
35,New Mexico,NM,NM,2013,2092273
36,New York,NY,NY,2013,19624447
37,North Carolina,NC,NC,2013,9843336
38,North Dakota,ND,ND,2013,722036
39,Ohio,OH,OH,2013,11576684
40,Oklahoma,OK,OK,2013,3853214
41,Oregon,OR,OR,2013,3922468
42,Pennsylvania,PA,PA,2013,12776309
44,Rhode Island,RI,RI,2013,1055081
45,South Carolina,SC,SC,2013,4764080
46,South Dakota,SD,SD,2013,842316
47,Tennessee,TN,TN,2013,6494340
48,Texas,TX,TX,2013,26480266
49,Utah,UT,UT,2013,2897640
50,Vermont,VT,VT,2013,626210
51,Virginia,VA,VA,2013,8252427
53,Washington,WA,WA,2013,6963985
54,West Virginia,WV,WV,2013,1853914
55,Wisconsin,WI,WI,2013,5736754
56,Wyoming,WY,WY,2013,582122
72,Puerto Rico,PR,PR,2013,3593077
1,Alabama,AL,AL,2014,4841799
2,Alaska,AK,AK,2014,736283
4,Arizona,AZ,AZ,2014,6730413
5,Arkansas,AR,AR,2014,2967392
6,California,CA,CA,2014,38596972
8,Colorado,CO,CO,2014,5350101
9,Connecticut,CT,CT,2014,3594524
10,Delaware,DE,DE,2014,932487
11,District of Columbia,DC,,2014,662328
12,Florida,FL,FL,2014,19845911
13,Georgia,GA,GA,2014,10067278
15,Hawaii,HI,HI,2014,1414538
16,Idaho,ID,ID,2014,1631112
17,Illinois,IL,IL,2014,12884493
18,Indiana,IN,IN,2014,6593644
19,Iowa,IA,IA,2014,3109350
20,Kansas,KS,KS,2014,2900475
21,Kentucky,KY,KY,2014,4414349
22,Louisiana,LA,LA,2014,4644013
23,Maine,ME,ME,2014,1330513
24,Maryland,MD,MD,2014,5957283
25,Massachusetts,MA,MA,2014,6762596
26,Michigan,MI,MI,2014,9929848
27,Minnesota,MN,MN,2014,5451079
28,Mississippi,MS,MS,2014,2990468
29,Missouri,MO,MO,2014,6056202
30,Montana,MT,MT,2014,1021869
31,Nebraska,NE,NE,2014,1879321
32,Nevada,NV,NV,2014,2817628
33,New Hampshire,NH,NH,2014,1333341
34,New Jersey,NJ,NJ,2014,8864525
35,New Mexico,NM,NM,2014,2089568
36,New York,NY,NY,2014,19651049
37,North Carolina,NC,NC,2014,9932887
38,North Dakota,ND,ND,2014,737401
39,Ohio,OH,OH,2014,11602700
40,Oklahoma,OK,OK,2014,3878187
41,Oregon,OR,OR,2014,3963244
42,Pennsylvania,PA,PA,2014,12788313
44,Rhode Island,RI,RI,2014,1055936
45,South Carolina,SC,SC,2014,4823617
46,South Dakota,SD,SD,2014,849129
47,Tennessee,TN,TN,2014,6541223
48,Texas,TX,TX,2014,26964333
